ID,Duration,StartingHour,Age,Male,Organisation_Type_Academia,Organisation_Type_Business,Organisation_Type_Consulting,Organisation_Type_Government,Organisation_Type_Independent,Organisation_Type_Other,Organisation_Type_Student,Organisation_Position,Organisation_Role_Marketing,Organisation_Role_Sales,Organisation_Role_Finance,Organisation_Role_Production,Organisation_Role_RD,Organisation_Role_IT,Organisation_Role_Support,Organisation_Role_Other,Org_Industry_IT,Org_Industry_FinancialServices,Org_Industry_Other,Org_Industry_Education,Org_Industry_Goverment,Org_Industry_Energy,Org_Industry_ProfServices,Org_Industry_Communications,Org_Industry_Retail,Org_Industry_Healthcare,Org_Industry_Manufacturing,Org_Industry_Transportation,Org_Industry_Gaming,Degree,Studies_ScienceMath,Studies_Engeneering,Studies_ICT,Studies_Commerce,Studies_SocialScience,Studies_Law,Studies_Other,Years_DataScience,Skill_Algorithms,Skill_BackEndProgramming,Skill_Bayesian,Skill_BigData,Skill_Business,Skill_ClassicalStatistics,Skill_DataManipulations,Skill_FrontEndProgramming,Skill_GraphicalModels,Skill_MachineLearning,Skill_Math,Skill_Optimization,Skill_ProductDevelopment,Skill_Science,Skill_Simulation,Skill_SpatialStatistics,Skill_StructuredData,Skill_SurveysMarketing,Skill_SystemAdministration,Skill_TemporalStatistics,Skill_UnstructuredData,Skill_Visualisation,ScientistType_Developer,ScientistType_Engineer,ScientistType_Researcher,ScientistType_Scientist,ScientistType_Statistician,ScientistType_JockOfAllTrades,ScientistType_Artist,ScientistType_Hacker,ScientistType_Leader,ScientistType_Business,ScientistType_Entrepreneur,Motivation_NeverAttended,Motivation_Socializing,Motivation_NetworkingB2B,Motivation_Networking4Employer,Motivation_Networking4Employees,Motivation_NewDevelopments,Motivation_Belgian_DS_Scene,Motivation_Contributing,Motivation_Other,BDSC_Organisation_Meetups,BDSC_Organisation_Data4Good,BDSC_Organisation_Hackathons,BDSC_Organisation_Kaggle,BDSC_Organisation_Training,BDSC_Training_Bootcamp,BDSC_Training_Coaching,BDSC_Training_Courses,BDSC_Training_CustomTraining,BDSC_Training_HandsOn
3822145898,37,7,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3822146293,73,7,40,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3822148735,1353,7,40,1,0,0,0,0,1,0,0,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,12,5,4,4,4,4,3,4,2,3,5,3,4,5,4,4,2,4,1,1,3,4,4,4,4,3,4,3,5,3,4,4,5,5,0,1,1,1,0,1,1,1,0,5,4,4,4,5,4,4,3,3,5
3822154116,687,7,40,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,15,5,3,1,2,3,4,4,2,3,4,4,3,5,3,1,1,3,1,2,1,4,3,3,2,4,4,3,3,4,3,2,3,2,1,0,0,0,0,0,0,0,0,4,4,2,3,4,3,4,4,3,4
3822159580,726,7,30,1,0,0,1,0,0,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,1,0,0,0,4,2,2,1,1,5,2,2,4,1,1,3,1,4,1,1,1,3,1,1,1,1,1,2,3,1,1,2,1,1,3,4,5,5,1,1,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3
3822190391,1720,7,30,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,5,1,1,1,1,1,5,4,1,3,3,4,5,1,4,5,1,3,4,1,4,1,2,2,1,5,5,4,1,2,1,4,2,4,1,1,1,1,0,1,1,0,0,4,2,1,2,5,1,4,5,4,4
3822194475,1308,7,30,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,3,3,2,1,1,4,3,3,4,1,2,4,3,2,3,2,1,2,1,1,3,1,2,4,3,2,3,2,3,1,3,3,4,4,0,0,0,0,1,0,1,1,0,4,4,5,5,5,3,4,3,2,5
3822200535,326,7,30,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,3,1,1,1,2,4,3,4,2,1,2,1,1,2,1,1,1,3,5,1,1,1,4,1,1,3,1,3,1,2,3,1,5,3,0,0,1,0,0,1,1,0,0,5,4,4,3,4,5,3,5,5,5
3822201066,641,7,30,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,4,4,3,3,3,1,3,5,4,3,5,4,4,2,3,2,3,4,2,2,2,4,3,4,4,5,5,4,5,3,2,3,2,3,1,0,0,0,0,0,0,0,0,4,4,4,3,4,2,2,5,2,5
3822213069,97,7,60,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3822215663,20372,7,40,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,8,4,2,4,2,2,4,4,3,4,3,5,4,2,5,4,4,2,2,1,4,3,4,3,3,5,5,3,2,3,3,4,2,2,0,0,0,0,0,1,0,0,0,4,4,4,4,4,4,4,4,4,4
3822230231,3298,8,50,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,10,1,3,1,1,1,1,4,2,1,1,1,1,3,1,2,1,5,2,1,1,2,3,3,4,2,1,1,4,2,3,3,2,4,0,1,0,0,0,0,0,1,0,4,4,4,3,4,4,4,5,3,4
3822233870,812,8,30,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,4,3,2,2,2,3,2,2,2,4,5,5,2,4,2,3,3,1,1,2,1,2,3,5,4,4,3,3,1,5,2,2,4,0,0,0,0,0,1,1,0,0,4,5,5,4,3,3,3,4,1,4
3822235289,693,8,30,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,3,3,3,1,1,3,2,4,4,3,4,2,2,4,4,1,1,3,1,3,2,5,3,3,4,4,4,3,4,1,4,4,4,4,1,0,0,0,0,0,0,0,0,5,5,5,5,5,4,4,3,3,4
3822247030,643,8,40,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,20,5,5,1,5,5,2,5,5,3,2,3,2,5,4,2,1,5,2,5,2,4,4,5,5,3,3,2,4,1,4,3,2,4,0,1,1,0,0,1,1,1,0,5,4,4,3,2,2,3,2,2,3
3822249969,628,8,40,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,3,2,1,1,4,1,2,2,1,2,3,2,1,1,1,1,2,1,1,2,1,1,2,4,1,1,2,1,1,1,3,2,2,0,1,0,0,0,1,1,1,0,5,4,3,3,4,4,4,4,1,4
3822252055,2626962,8,50,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,2,3,1,1,2,4,3,3,2,1,4,5,3,2,5,1,2,5,1,2,3,2,2,3,3,4,5,4,3,3,2,3,4,5,1,1,1,1,1,1,1,1,0,5,4,4,4,4,4,4,4,3,5
3822255790,426,8,30,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,6,2,3,3,1,4,5,3,2,2,2,3,3,2,5,3,5,2,4,1,5,2,2,4,4,4,5,5,3,2,1,3,4,3,1,1,1,0,0,1,1,0,0,4,3,2,3,5,2,3,5,4,4
3822258154,77,8,30,1,0,0,1,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3822261811,1427,8,60,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,10,4,4,1,2,4,2,3,2,2,2,2,2,4,3,1,1,4,3,3,2,2,2,3,4,3,2,2,3,1,3,4,4,3,0,1,1,1,0,1,1,1,0,4,4,3,3,4,3,4,4,4,4
3822265565,906,8,40,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,3,2,2,2,2,4,2,2,2,2,2,2,2,4,2,2,2,4,2,1,2,2,3,1,4,1,1,1,1,1,1,4,3,3,1,0,0,0,0,1,1,0,0,3,3,3,3,3,3,3,3,3,3
3822274902,687,8,30,1,0,0,0,0,1,0,0,4,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,8,3,4,2,2,4,2,5,4,4,2,3,2,4,2,2,3,5,2,4,3,4,5,5,4,3,4,2,4,2,5,4,4,5,0,1,1,1,1,1,1,1,0,4,4,4,3,3,2,3,3,3,3
3822277261,593,8,30,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,3,1,5,3,1,5,4,1,3,2,5,5,1,4,5,4,1,1,1,3,3,4,2,4,5,5,5,1,2,2,2,2,2,0,1,0,1,0,1,1,0,0,4,4,4,3,4,5,4,5,3,5
3822278705,14,8,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3822283398,689,8,30,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,8,2,5,1,2,4,1,3,4,1,2,1,1,5,2,1,1,4,1,4,1,3,4,5,5,5,2,1,4,1,5,4,2,1,0,0,0,0,0,1,0,0,0,1,1,1,1,5,2,1,4,1,5
3822285240,1082,8,20,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,3,3,2,2,1,2,3,3,1,3,3,2,3,3,3,1,3,1,3,3,2,1,3,4,5,3,2,2,2,1,2,2,1,0,1,1,0,0,1,1,0,0,5,4,3,3,4,4,4,4,3,4
3822288311,563,8,40,1,0,1,0,0,0,0,0,4,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,1,2,1,2,4,1,1,3,1,1,1,1,3,2,1,1,5,3,4,1,2,3,2,1,1,1,1,1,1,1,3,4,4,0,1,0,0,1,1,1,1,0,5,3,3,3,5,3,4,4,4,4
3822289161,490,8,50,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,4,4,4,3,2,3,5,5,5,4,4,4,5,4,3,3,3,4,3,4,4,5,4,5,5,4,3,4,2,5,3,2,3,1,0,0,0,0,0,0,0,0,4,3,5,4,3,2,2,4,1,2
3822294137,3046,8,30,1,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,4,2,2,3,1,3,5,3,4,4,5,4,1,5,2,2,3,3,3,3,4,3,4,3,5,5,4,4,2,4,3,2,3,0,1,0,1,0,1,1,1,1,5,5,5,5,4,3,3,4,3,5
3822298486,537,8,40,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,6,1,1,1,1,3,2,4,2,1,1,2,1,3,2,1,1,3,3,1,2,2,3,4,2,3,3,3,2,2,2,3,4,3,1,1,1,0,0,1,1,0,0,4,3,4,4,4,3,4,4,3,5
3822304867,428,8,20,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,1,2,4,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,5,5,4,3,5,3,3,3,3,3
3822316416,589,8,40,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,2,2,1,2,2,2,3,2,2,3,2,2,2,2,2,4,2,2,2,2,2,4,1,2,3,2,2,1,1,1,4,1,1,0,0,0,0,0,0,0,0,4,4,3,3,5,2,4,4,4,5
3822323837,1581,9,50,1,0,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,18,1,1,1,2,5,1,1,1,1,1,1,1,3,1,1,1,3,2,2,2,1,2,1,1,2,1,2,1,2,1,5,5,5,0,0,1,0,1,0,1,1,0,5,4,3,3,5,4,5,5,5,4
3822345854,493,9,50,1,0,1,0,0,0,0,0,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,1,1,1,2,5,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,5,2,4,1,2,2,3,2,2,4,4,5,0,0,1,0,1,1,1,1,0,4,3,3,3,3,3,3,3,3,3
3822424381,673,9,30,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,2,3,1,4,2,2,3,2,2,2,2,1,2,1,1,1,3,1,2,2,4,2,5,4,2,2,2,2,2,4,3,2,3,1,1,1,0,0,1,0,0,0,5,3,4,4,2,2,2,2,2,2
3822434605,7756,9,40,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,13,2,1,4,1,1,4,3,2,2,4,4,3,1,5,3,1,1,1,1,5,1,4,3,2,5,5,4,2,2,1,3,1,1,0,1,0,0,0,1,1,1,0,5,5,5,4,4,3,4,5,4,4
3822453848,459,10,40,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,15,4,4,2,4,3,4,4,3,4,3,3,2,1,4,2,2,4,3,2,2,4,4,5,3,5,5,4,4,2,4,3,2,2,1,0,0,0,0,0,0,0,0,4,4,3,3,2,1,3,4,1,4
3822457963,341,10,30,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,3,5,1,3,2,2,2,4,2,3,3,5,4,1,5,3,3,4,3,3,3,4,3,3,3,4,4,3,3,3,4,4,1,2,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4
3822481507,1712,10,50,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,5,2,1,1,2,4,2,2,2,1,1,3,2,4,1,2,1,4,1,1,1,1,3,2,4,2,3,3,3,2,1,4,4,4,1,1,1,1,1,1,1,0,1,4,4,3,3,4,3,4,3,4,5
3822484562,530,10,30,1,0,0,1,0,0,0,0,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,1,1,3,5,1,1,4,1,2,4,4,5,3,2,2,2,3,2,2,2,2,1,1,1,1,2,1,1,1,5,5,5,0,1,1,0,1,0,1,1,0,5,4,4,4,5,5,5,4,5,4
